date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:27:17	78/78	---M--	200	added ('OK')	text/plain	etag:%2291c9ab3730bed21:0%22	https://www.globalcu.org/robots.txt		(from )
00:27:18	36309/36309	---M--	200	added ('OK')	text/html	date:Wed,%2022%20Nov%202017%2005:28:07%20GMT	https://www.globalcu.org/	F:/WinHttrack/Global/www.globalcu.org/index.html	(from )
00:27:21	121200/121200	---M--	200	added ('OK')	text/css	etag:%228955f1130bed21:0%22	https://www.globalcu.org/style/bootstrap.min.css	F:/WinHttrack/Global/www.globalcu.org/style/bootstrap.min.css	(from https://www.globalcu.org/)
00:27:22	54259/54259	---M--	200	added ('OK')	text/css	etag:%223086a9a9fd5fd31:0%22	https://www.globalcu.org/style/style-update.css	F:/WinHttrack/Global/www.globalcu.org/style/style-update.css	(from https://www.globalcu.org/)
00:27:23	6291/6291	---M--	200	added ('OK')	text/css	etag:%224934add89fc3d21:0%22	https://www.globalcu.org/style/style-media-queries.css	F:/WinHttrack/Global/www.globalcu.org/style/style-media-queries.css	(from https://www.globalcu.org/)
00:27:25	97163/97163	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.12.4/jquery.min.js	F:/WinHttrack/Global/ajax.googleapis.com/ajax/libs/jquery/1.12.4/jquery.min.js	(from https://www.globalcu.org/)
00:27:26	7784/7784	---M--	200	added ('OK')	application/x-javascript	etag:%22f11c732830bed21:0%22	https://www.globalcu.org/javascript/jquery.mobile.custom.min.js	F:/WinHttrack/Global/www.globalcu.org/javascript/jquery.mobile.custom.min.js	(from https://www.globalcu.org/)
00:27:28	37045/37045	---M--	200	added ('OK')	application/x-javascript	etag:%229152e2830bed21:0%22	https://www.globalcu.org/javascript/bootstrap.min.js	F:/WinHttrack/Global/www.globalcu.org/javascript/bootstrap.min.js	(from https://www.globalcu.org/)
00:27:30	52155/52155	---M--	200	added ('OK')	application/x-javascript	etag:%226b81432830bed21:0%22	https://www.globalcu.org/javascript/cycle.js	F:/WinHttrack/Global/www.globalcu.org/javascript/cycle.js	(from https://www.globalcu.org/)
00:27:31	13112/13112	---M--	200	added ('OK')	application/x-javascript	etag:%222827ecc4c11dd31:0%22	https://www.globalcu.org/javascript/javascript.js	F:/WinHttrack/Global/www.globalcu.org/javascript/javascript.js	(from https://www.globalcu.org/)
00:27:33	591/591	---M--	200	added ('OK')	application/x-javascript	etag:%22d2b542830bed21:0%22	https://www.globalcu.org/javascript/events.js	F:/WinHttrack/Global/www.globalcu.org/javascript/events.js	(from https://www.globalcu.org/)
00:27:34	327/327	---M--	200	added ('OK')	application/x-javascript	etag:%22c324a03047ecd21:0%22	https://www.globalcu.org/javascript/alerts.js	F:/WinHttrack/Global/www.globalcu.org/javascript/alerts.js	(from https://www.globalcu.org/)
00:27:35	33047/33047	---M-Z	200	added ('OK')	application/x-javascript	date:Wed,%2022%20Nov%202017%2005:28:21%20GMT	https://connect.facebook.net/en_US/fbevents.js	F:/WinHttrack/Global/connect.facebook.net/en_US/fbevents.js	(from https://www.globalcu.org/)
00:27:37	13666/13666	---M--	200	added ('OK')	image/jpeg	etag:%22ee88951e30bed21:0%22	https://www.globalcu.org/images/email_logo.jpg	F:/WinHttrack/Global/www.globalcu.org/images/email_logo.jpg	(from https://www.globalcu.org/)
00:27:39	20126/20126	---M--	200	added ('OK')	text/html	date:Wed,%2022%20Nov%202017%2005:28:28%20GMT	https://www.globalcu.org/globalanswers/index.php?query=	F:/WinHttrack/Global/www.globalcu.org/globalanswers/index0f15.html	(from https://www.globalcu.org/)
00:27:40	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2022%20Nov%202017%2005:28:25%20GMT	http://www.googletagmanager.com/gtm.js?id=	F:/WinHttrack/Global/www.googletagmanager.com/gtm.d5445.delayed	(from https://www.globalcu.org/)
00:27:41	2580/2580	---M--	200	added ('OK')	image/png	etag:%22a28a3e1f30bed21:0%22	https://www.globalcu.org/images/globalCU_logo.png	F:/WinHttrack/Global/www.globalcu.org/images/globalCU_logo.png	(from https://www.globalcu.org/)
00:27:44	20953/20953	---M--	200	added ('OK')	text/html	date:Wed,%2022%20Nov%202017%2005:28:33%20GMT	https://www.globalcu.org/save/index.php	F:/WinHttrack/Global/www.globalcu.org/save/index.html	(from https://www.globalcu.org/)
00:27:44	20126/20126	---M--	200	added ('OK')	text/html	date:Wed,%2022%20Nov%202017%2005:28:33%20GMT	https://www.globalcu.org/globalanswers/?fkbid=2943	F:/WinHttrack/Global/www.globalcu.org/globalanswers/index4319.html	(from https://www.globalcu.org/)
00:27:45	21283/21283	---M--	200	added ('OK')	text/html	date:Wed,%2022%20Nov%202017%2005:28:34%20GMT	https://www.globalcu.org/borrow/index.php	F:/WinHttrack/Global/www.globalcu.org/borrow/index.html	(from https://www.globalcu.org/)
00:27:47	22634/22634	---M--	200	added ('OK')	text/html	date:Wed,%2022%20Nov%202017%2005:28:36%20GMT	https://www.globalcu.org/business/index.php	F:/WinHttrack/Global/www.globalcu.org/business/index.html	(from https://www.globalcu.org/)
00:27:49	20707/20707	---M--	200	added ('OK')	text/html	date:Wed,%2022%20Nov%202017%2005:28:38%20GMT	https://www.globalcu.org/investments/index.php	F:/WinHttrack/Global/www.globalcu.org/investments/index.html	(from https://www.globalcu.org/)
00:27:51	19958/19958	---M--	200	added ('OK')	text/html	date:Wed,%2022%20Nov%202017%2005:28:40%20GMT	https://www.globalcu.org/locations/index.php	F:/WinHttrack/Global/www.globalcu.org/locations/index.html	(from https://www.globalcu.org/)
00:27:52	20126/20126	---M--	200	added ('OK')	text/html	date:Wed,%2022%20Nov%202017%2005:28:40%20GMT	https://www.globalcu.org/globalanswers/?fcatid=160	F:/WinHttrack/Global/www.globalcu.org/globalanswers/index5517.html	(from https://www.globalcu.org/)
00:27:53	21926/21926	---M--	200	added ('OK')	text/html	date:Wed,%2022%20Nov%202017%2005:28:42%20GMT	https://www.globalcu.org/membership/index.php	F:/WinHttrack/Global/www.globalcu.org/membership/index.html	(from https://www.globalcu.org/)
00:27:55	20874/20874	---M--	200	added ('OK')	text/html	date:Wed,%2022%20Nov%202017%2005:28:44%20GMT	https://www.globalcu.org/about/index.php	F:/WinHttrack/Global/www.globalcu.org/about/index.html	(from https://www.globalcu.org/)
00:27:57	25051/25051	---M--	200	added ('OK')	text/html	date:Wed,%2022%20Nov%202017%2005:28:46%20GMT	https://www.globalcu.org/contactus/index.php	F:/WinHttrack/Global/www.globalcu.org/contactus/index.html	(from https://www.globalcu.org/)
00:27:59	35943/35943	---MC-	200	added ('OK')	text/javascript	date:Mon,%2013%20Nov%202017%2020:19:12%20GMT	http://www.google-analytics.com/analytics.js	F:/WinHttrack/Global/www.google-analytics.com/analytics.js	(from https://www.globalcu.org/)
00:28:01	287051/287051	---M--	200	added ('OK')	image/jpeg	etag:%22fedba12530bed21:0%22	https://www.globalcu.org/images/sliders/eVelocity_slider.jpg	F:/WinHttrack/Global/www.globalcu.org/images/sliders/eVelocity_slider.jpg	(from https://www.globalcu.org/)
00:28:02	22311/22311	---M--	200	added ('OK')	text/html	date:Wed,%2022%20Nov%202017%2005:28:51%20GMT	https://www.globalcu.org/evelocity/index.php	F:/WinHttrack/Global/www.globalcu.org/evelocity/index.html	(from https://www.globalcu.org/)
00:28:05	343373/343373	---M--	200	added ('OK')	image/jpeg	etag:%22816cbe2530bed21:0%22	https://www.globalcu.org/images/sliders/HomeLoans_slider.jpg	F:/WinHttrack/Global/www.globalcu.org/images/sliders/HomeLoans_slider.jpg	(from https://www.globalcu.org/)
00:28:05	24566/24566	---M--	200	added ('OK')	text/html	date:Wed,%2022%20Nov%202017%2005:28:54%20GMT	https://www.globalcu.org/home/index.php	F:/WinHttrack/Global/www.globalcu.org/home/index.html	(from https://www.globalcu.org/)
00:28:08	289262/289262	---M--	200	added ('OK')	image/jpeg	etag:%22fcd08e2530bed21:0%22	https://www.globalcu.org/images/sliders/creditcard_slider.jpg	F:/WinHttrack/Global/www.globalcu.org/images/sliders/creditcard_slider.jpg	(from https://www.globalcu.org/)
00:28:09	22031/22031	---M--	200	added ('OK')	text/html	date:Wed,%2022%20Nov%202017%2005:28:58%20GMT	https://www.globalcu.org/creditcards/index.php	F:/WinHttrack/Global/www.globalcu.org/creditcards/index.html	(from https://www.globalcu.org/)
00:28:12	325708/325708	---M--	200	added ('OK')	image/jpeg	etag:%22393772530bed21:0%22	https://www.globalcu.org/images/sliders/autoloan_slider.jpg	F:/WinHttrack/Global/www.globalcu.org/images/sliders/autoloan_slider.jpg	(from https://www.globalcu.org/)
00:28:13	22850/22850	---M--	200	added ('OK')	text/html	date:Wed,%2022%20Nov%202017%2005:29:02%20GMT	https://www.globalcu.org/auto/index.php	F:/WinHttrack/Global/www.globalcu.org/auto/index.html	(from https://www.globalcu.org/)
00:28:16	35819/35819	---M--	200	added ('OK')	text/html	date:Wed,%2022%20Nov%202017%2005:29:05%20GMT	https://www.globalcu.org/community/index.php	F:/WinHttrack/Global/www.globalcu.org/community/index.html	(from https://www.globalcu.org/)
00:28:18	22458/22458	---M--	200	added ('OK')	text/html	date:Wed,%2022%20Nov%202017%2005:29:07%20GMT	https://www.globalcu.org/features/getawayvacations.php	F:/WinHttrack/Global/www.globalcu.org/features/getawayvacations.html	(from https://www.globalcu.org/)
00:28:20	197585/197585	---M--	200	added ('OK')	image/jpeg	etag:%22426981bfdb54d31:0%22	https://www.globalcu.org/images/mini/HealthNov17_mini.jpg	F:/WinHttrack/Global/www.globalcu.org/images/mini/HealthNov17_mini.jpg	(from https://www.globalcu.org/)
00:28:22	22043/22043	---M--	200	added ('OK')	text/html	date:Wed,%2022%20Nov%202017%2005:29:11%20GMT	https://www.globalcu.org/rewardchecking/index.php	F:/WinHttrack/Global/www.globalcu.org/rewardchecking/index.html	(from https://www.globalcu.org/)
00:28:24	112560/112560	---M--	200	added ('OK')	image/jpeg	etag:%225aa6672430bed21:0%22	https://www.globalcu.org/images/mini/reward_mini.jpg	F:/WinHttrack/Global/www.globalcu.org/images/mini/reward_mini.jpg	(from https://www.globalcu.org/)
00:28:25	22135/22135	---M--	200	added ('OK')	text/html	date:Wed,%2022%20Nov%202017%2005:29:14%20GMT	https://www.globalcu.org/onlineservices/index.php	F:/WinHttrack/Global/www.globalcu.org/onlineservices/index.html	(from https://www.globalcu.org/)
00:28:28	123653/123653	---M--	200	added ('OK')	image/jpeg	etag:%22c2f6c43ede49d31:0%22	https://www.globalcu.org/images/mini/DigitalSuite_mini.jpg	F:/WinHttrack/Global/www.globalcu.org/images/mini/DigitalSuite_mini.jpg	(from https://www.globalcu.org/)
00:28:29	22760/22760	---M--	200	added ('OK')	text/html	date:Wed,%2022%20Nov%202017%2005:29:18%20GMT	https://www.globalcu.org/insurance/index.php	F:/WinHttrack/Global/www.globalcu.org/insurance/index.html	(from https://www.globalcu.org/)
00:28:31	41481/41481	---M--	200	added ('OK')	image/jpeg	etag:%22185e592430bed21:0%22	https://www.globalcu.org/images/mini/insurance_mini.jpg	F:/WinHttrack/Global/www.globalcu.org/images/mini/insurance_mini.jpg	(from https://www.globalcu.org/)
00:28:33	23647/23647	---M--	200	added ('OK')	text/html	date:Wed,%2022%20Nov%202017%2005:29:22%20GMT	https://www.globalcu.org/sprint/index.php	F:/WinHttrack/Global/www.globalcu.org/sprint/index.html	(from https://www.globalcu.org/)
00:28:35	160295/160295	---M--	200	added ('OK')	image/gif	etag:%225e2c4b926acbd21:0%22	https://www.globalcu.org/images/mini/sprint_mini.gif	F:/WinHttrack/Global/www.globalcu.org/images/mini/sprint_mini.gif	(from https://www.globalcu.org/)
00:28:37	25429/25429	---M--	200	added ('OK')	text/html	date:Wed,%2022%20Nov%202017%2005:29:26%20GMT	https://www.globalcu.org/paymyloan/index.php	F:/WinHttrack/Global/www.globalcu.org/paymyloan/index.html	(from https://www.globalcu.org/)
